Year,Month,Region,Org Code,Org Name,A0,A1,A2,A3,A4,A114,A5,A6,A111,A112,A113,A7,A8,A9,A10,A11,A12,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A17,A18,A19,A20,A21,A22,A23,A53,A54,A55,A56,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A74,A82,A83,A84,A78,A94,A95,A96,A115,A116,A117,A118,A75,A85,A86,A87,A79,A97,A98,A99,A119,A120,A121,A122,A76,A88,A89,A90,A80,A100,A101,A102,A77,A91,A92,A93,A81,A103,A104,A105,A49,A50,A51,A52,A13,A14,A15,A16,A106,A107,A108,A109,A110,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73
2017,8,Eng,Eng,England,177540,141028,1796993,13,1,.,70,158,.,.,.,58813,10233,6931,67946,32227,2610,5671240,554,912,7047501,1017,2099,97514559,1435,3189,98017154,3041,7085,12750030,4885,9169,6083,0,2714,7,0,3369,13,83929,6359,32972,123260,20104,17128,13795,11999,91224,79198,44629,35656,3683,2840,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1355,55934,41,94,.,.,.,.,.,192,3672,2375,108,2594,17031323,4638,9121,14233134,5993,11511,651465,6032,12612,25291867,9750,18657
2017,8,North East and Yorkshire,Y63,North East and Yorkshire,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,8,North West,Y62,North West,99343,75832,1466629,19,1,.,98,203,.,.,.,.,5973,4181,37433,18239,2359,3627802,607,959,3926783,939,1765,54641393,1460,3354,46719293,2562,5849,11918626,5052,9261,.,.,.,.,.,.,.,47271,5598,17661,70530,12125,10524,8474,7508,52232,44938,26150,20740,3367,2579,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1355,55934,41,94,.,.,.,.,.,192,2722,1314,100,895,11920690,4379,8741,6173884,4699,10027,559592,5596,12455,4816254,5381,12379
2017,8,Midlands,Y60,Midlands,78197,65196,330364,5,2,.,37,105,.,.,.,58813,4260,2750,30513,13988,251,2043438,480,845,3120718,1135,2607,42873166,1405,2986,51297861,3667,8696,831404,3312,8303,6083,0,2714,7,0,3369,13,36658,761,15311,52730,7979,6604,5321,4491,38992,34260,18479,14916,316,261,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,950,1061,8,1699,5110633,5380,10208,8059250,7596,13348,91873,11484,14577,20475613,12052,21964
2017,8,East of England,Y61,East of England,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,8,London,Y56,London,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,8,South East,Y59,South East,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,8,South West,Y58,South West,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,8,Y60,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,78197,65196,330364,5,2,.,37,105,.,.,.,58813,4260,2750,30513,13988,251,2043438,480,845,3120718,1135,2607,42873166,1405,2986,51297861,3667,8696,831404,3312,8303,6083,0,2714,7,0,3369,13,36658,761,15311,52730,7979,6604,5321,4491,38992,34260,18479,14916,316,261,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,950,1061,8,1699,5110633,5380,10208,8059250,7596,13348,91873,11484,14577,20475613,12052,21964
2017,8,Y61,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
